Kod;Uprawnieni do głosowania;Ważnych kart;Oddane głosy;Trzecia Droga;Lewica;Prawo i Sprawiedliwość;Konfederacja;Koalicja Obywatelska;Data;Typ wyborów
1262000;60529;45721;45280;5174;1910;19458;3699;12483;2023-10-15;Sejmowe
1263000;81545;59034;58442;12065;3163;21559;3788;15894;2023-10-15;Sejmowe
1401000;26125;19773;19287;2491;825;10992;1421;2976;2023-10-15;Sejmowe
1402000;67241;48625;47692;7065;3098;22320;3226;10444;2023-10-15;Sejmowe
1403000;82911;64409;62956;9102;2442;34815;5118;8726;2023-10-15;Sejmowe
1404000;34253;24137;23542;3263;1193;11396;1469;5436;2023-10-15;Sejmowe
1405000;76274;62820;62160;10327;4348;17995;4528;22552;2023-10-15;Sejmowe
1406000;80216;61859;60807;12782;4064;24464;4404;12891;2023-10-15;Sejmowe
1407000;46815;34640;33954;4728;1678;17297;2397;6625;2023-10-15;Sejmowe
1408000;95373;79397;78691;11383;5689;22696;5101;30993;2023-10-15;Sejmowe
1409000;26091;17495;17082;2321;943;9634;1184;2270;2023-10-15;Sejmowe
1410000;23294;16531;16144;2572;743;9159;1470;1594;2023-10-15;Sejmowe
1411000;34075;24122;23357;4403;944;11984;1716;3316;2023-10-15;Sejmowe
1412000;125194;99755;98163;14858;5885;37532;7466;28362;2023-10-15;Sejmowe
1413000;54107;37564;36725;6086;2060;17480;2700;7439;2023-10-15;Sejmowe
1414000;61439;46661;45871;6600;3265;17066;3091;14148;2023-10-15;Sejmowe
1415000;68103;46832;45428;6316;2063;24624;4371;5981;2023-10-15;Sejmowe
1416000;54879;39479;38579;5890;1893;20661;2902;5900;2023-10-15;Sejmowe
1417000;97021;79963;78949;12113;4813;29662;5781;23168;2023-10-15;Sejmowe
1418000;148330;124047;122799;18794;9401;32813;8250;49402;2023-10-15;Sejmowe
1419000;85651;60371;58864;12261;3025;28188;3924;9319;2023-10-15;Sejmowe
1420000;67957;46601;45376;7061;2585;21374;3020;9523;2023-10-15;Sejmowe
1421000;129412;109221;108273;17583;7966;30209;7000;41858;2023-10-15;Sejmowe
1422000;38714;26599;25978;3560;1260;13557;1900;4807;2023-10-15;Sejmowe
1423000;31999;24454;23928;3106;837;15345;1649;2360;2023-10-15;Sejmowe
1424000;40527;29645;28758;5782;1635;13239;2173;5065;2023-10-15;Sejmowe
1425000;115706;84623;83044;9869;3612;45814;6682;13540;2023-10-15;Sejmowe
1426000;62454;46562;45555;5926;1619;26385;4446;4966;2023-10-15;Sejmowe
1427000;38730;26237;25619;4906;1419;12812;1727;3965;2023-10-15;Sejmowe
1428000;64914;49223;48511;9603;2826;19823;3306;11102;2023-10-15;Sejmowe
1429000;41191;30685;30060;5049;1040;16115;2491;4261;2023-10-15;Sejmowe
1430000;29864;20882;20375;2096;814;11464;1713;3547;2023-10-15;Sejmowe
1432000;95762;80208;79480;11382;5648;23215;5475;30886;2023-10-15;Sejmowe
1433000;50771;37551;36708;5144;1563;19691;2869;6144;2023-10-15;Sejmowe
1434000;193346;156348;154521;21904;10426;58249;12347;44463;2023-10-15;Sejmowe
1435000;58364;43894;42847;8546;1977;19571;3487;7686;2023-10-15;Sejmowe
1436000;27568;18970;18574;2741;979;10280;1391;2273;2023-10-15;Sejmowe
1437000;28789;19664;19200;3622;2223;9305;1036;2537;2023-10-15;Sejmowe
