"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
2465000;"Powiat m. Dąbrowa Górnicza";43,6;44,0;44,6;45,0;45,5;46,1;
2466000;"Powiat m. Gliwice";42,9;43,3;43,3;43,7;44,1;44,5;
2467000;"Powiat m. Jastrzębie-Zdrój";42,6;43,0;44,0;44,3;44,7;45,2;
2468000;"Powiat m. Jaworzno";42,8;43,1;43,5;43,8;44,2;44,7;
2469000;"Powiat m. Katowice";44,4;44,7;43,8;44,1;44,3;44,5;
2470000;"Powiat m. Mysłowice";41,3;41,6;41,9;42,2;42,6;43,1;
2471000;"Powiat m. Piekary Śląskie";42,8;43,1;43,7;44,0;44,3;44,7;
2472000;"Powiat m. Ruda Śląska";41,6;41,9;42,3;42,6;43,1;43,5;
2473000;"Powiat m. Rybnik";41,0;41,4;42,1;42,5;43,0;43,5;
2474000;"Powiat m. Siemianowice Śląskie";43,3;43,6;43,9;44,1;44,4;44,8;
2475000;"Powiat m. Sosnowiec";44,9;45,4;45,7;46,0;46,4;46,9;
2476000;"Powiat m. Świętochłowice";42,7;43,1;43,0;43,3;43,7;44,2;
2477000;"Powiat m. Tychy";41,7;42,1;42,5;43,0;43,6;44,2;
2478000;"Powiat m. Zabrze";43,4;43,8;43,6;43,9;44,3;44,9;
2479000;"Powiat m. Żory";40,2;40,7;41,2;41,6;42,2;42,8;
2601000;"Powiat buski";43,0;43,4;44,3;44,7;45,1;45,7;
2602000;"Powiat jędrzejowski";41,2;41,8;42,5;43,0;43,4;44,0;
2603000;"Powiat kazimierski";43,4;43,9;44,5;44,8;45,1;45,6;
2604000;"Powiat kielecki";38,8;39,3;40,0;40,4;40,8;41,4;
2605000;"Powiat konecki";43,2;43,7;44,9;45,4;45,9;46,4;
2606000;"Powiat opatowski";42,4;42,9;44,0;44,4;44,9;45,4;
2607000;"Powiat ostrowiecki";44,3;44,8;46,0;46,3;46,8;47,3;
2608000;"Powiat pińczowski";43,4;43,8;44,4;44,7;45,2;45,6;
2609000;"Powiat sandomierski";42,6;43,1;44,2;44,5;45,0;45,6;
2610000;"Powiat skarżyski";44,7;45,2;46,3;46,7;47,1;47,6;
2611000;"Powiat starachowicki";43,3;43,8;44,6;44,9;45,3;45,7;
2612000;"Powiat staszowski";41,2;41,7;42,6;43,0;43,5;44,1;
2613000;"Powiat włoszczowski";41,3;41,8;42,7;43,1;43,6;44,1;
2661000;"Powiat m. Kielce";43,2;43,6;44,0;44,4;44,8;45,3;
2801000;"Powiat bartoszycki";41,2;41,8;43,0;43,5;44,1;44,6;
2802000;"Powiat braniewski";40,5;41,0;42,5;42,9;43,4;44,0;
2803000;"Powiat działdowski";39,4;39,8;41,1;41,5;42,0;42,5;
2804000;"Powiat elbląski";39,3;39,8;40,9;41,4;42,0;42,6;
2805000;"Powiat ełcki";38,4;38,9;40,0;40,5;41,0;41,6;
2806000;"Powiat giżycki";41,4;41,8;42,8;43,1;43,6;44,0;
2807000;"Powiat iławski";39,1;39,5;40,3;40,6;41,1;41,6;
2808000;"Powiat kętrzyński";41,7;42,2;43,6;44,0;44,5;45,2;
2809000;"Powiat lidzbarski";40,9;41,4;42,6;43,0;43,5;44,1;
2810000;"Powiat mrągowski";40,7;41,1;42,1;42,6;43,1;43,8;
2811000;"Powiat nidzicki";40,0;40,6;41,9;42,3;42,7;43,3;
2812000;"Powiat nowomiejski";38,3;38,7;39,6;39,9;40,4;41,0;
2813000;"Powiat olecki";38,8;39,3;40,5;41,0;41,4;41,9;
2814000;"Powiat olsztyński";39,5;39,9;40,4;40,8;41,2;41,7;
2815000;"Powiat ostródzki";40,0;40,5;41,6;42,0;42,5;43,1;
2816000;"Powiat piski";39,7;40,2;41,6;42,0;42,4;43,0;
2817000;"Powiat szczycieński";39,7;40,3;41,2;41,7;42,3;42,8;
2818000;"Powiat gołdapski";39,1;39,6;40,5;40,9;41,4;42,0;
2819000;"Powiat węgorzewski";42,5;43,0;44,0;44,4;44,7;45,2;
2861000;"Powiat m. Elbląg";42,4;42,9;43,6;44,0;44,4;44,9;
2862000;"Powiat m. Olsztyn";41,5;41,9;41,8;42,3;42,8;43,4;
3001000;"Powiat chodzieski";39,9;40,4;41,2;41,8;42,3;42,9;
3002000;"Powiat czarnkowsko-trzcianecki";39,8;40,3;41,1;41,5;41,9;42,5;
3003000;"Powiat gnieźnieński";39,6;40,0;40,8;41,2;41,6;42,1;
3004000;"Powiat gostyński";38,8;39,2;39,9;40,2;40,7;41,2;
3005000;"Powiat grodziski";37,1;37,6;38,1;38,5;38,9;39,4;
3006000;"Powiat jarociński";39,4;39,8;40,4;40,6;41,0;41,4;
3007000;"Powiat kaliski";39,7;40,1;40,8;41,0;41,5;41,9;
3008000;"Powiat kępiński";39,3;39,7;40,1;40,5;40,9;41,4;
3009000;"Powiat kolski";41,0;41,4;42,4;42,8;43,2;43,7;
3010000;"Powiat koniński";38,8;39,3;40,0;40,4;40,9;41,4;
3011000;"Powiat kościański";39,5;39,9;40,5;40,8;41,3;41,7;
3012000;"Powiat krotoszyński";39,2;39,6;40,2;40,6;41,0;41,5;
3013000;"Powiat leszczyński";37,6;37,9;38,1;38,4;38,8;39,3;
3014000;"Powiat międzychodzki";39,7;40,3;41,0;41,3;41,7;42,1;
3015000;"Powiat nowotomyski";38,3;38,7;39,3;39,7;40,1;40,7;
3016000;"Powiat obornicki";38,4;38,9;39,5;39,9;40,4;40,9;
3017000;"Powiat ostrowski";40,3;40,7;41,3;41,6;42,0;42,5;
3018000;"Powiat ostrzeszowski";39,4;39,7;40,3;40,6;41,0;41,5;
3019000;"Powiat pilski";40,1;40,6;41,7;42,1;42,6;43,2;
3020000;"Powiat pleszewski";39,6;40,2;40,9;41,3;41,8;42,3;
3021000;"Powiat poznański";38,0;38,2;38,4;38,7;39,2;39,7;
3022000;"Powiat rawicki";39,2;39,7;40,2;40,6;41,1;41,6;
3023000;"Powiat słupecki";40,0;40,5;41,3;41,7;42,2;42,7;
3024000;"Powiat szamotulski";39,1;39,5;40,0;40,4;40,8;41,4;
3025000;"Powiat średzki";38,6;38,9;39,4;39,6;40,1;40,5;
3026000;"Powiat śremski";38,9;39,3;39,8;40,2;40,7;41,1;
3027000;"Powiat turecki";39,8;40,2;41,0;41,4;41,8;42,2;
3028000;"Powiat wągrowiecki";38,3;38,8;39,5;39,8;40,2;40,7;
3029000;"Powiat wolsztyński";38,3;38,6;39,3;39,6;40,0;40,6;
3030000;"Powiat wrzesiński";39,2;39,6;39,9;40,3;40,8;41,3;
3031000;"Powiat złotowski";38,9;39,4;40,1;40,5;40,9;41,5;
3061000;"Powiat m. Kalisz";43,5;43,9;44,8;45,3;45,8;46,3;
3062000;"Powiat m. Konin";44,1;44,6;45,7;46,2;46,8;47,3;
3063000;"Powiat m. Leszno";41,4;41,9;42,8;43,2;43,9;44,5;
3064000;"Powiat m. Poznań";41,5;41,9;40,3;40,6;41,0;41,5;
